,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
39,2.58,32,90,64,63,12.2,147,2.40,16.86,28,3677,Jonathan Quick,.587,37,7,.921,1720,1867,5,Los Angeles Kings,3,33
40,2.28,27,77,19,15,4.0,35,2.10,10.29,1,999,Darcy Kuemper,.600,9,1,.932,481,516,3,Los Angeles Kings,3,10
41,2.70,26,,5,4,1.0,11,2.48,,0,267,Jack Campbell,.500,2,0,.924,134,145,0,Los Angeles Kings,2,2
42,2.71,31,93,60,59,11.0,145,2.52,10.26,16,3450,Devan Dubnyk,.610,36,8,.918,1624,1769,5,Minnesota Wild,7,35
43,3.09,30,103,28,23,4.2,71,2.85,-1.93,10,1495,Alex Stalock,.565,13,3,.910,716,787,1,Minnesota Wild,4,10
44,3.36,30,113,49,48,6.4,148,3.11,-17.49,26,2855,Carey Price,.438,21,10,.900,1339,1487,1,Montreal Canadiens,7,16
45,2.63,34,81,19,17,4.4,42,2.46,9.96,5,1026,Antti Niemi,.706,12,2,.929,550,592,1,Montreal Canadiens,4,7
46,3.24,24,105,14,14,2.3,42,3.03,-1.89,8,833,Charlie Lindgren,.643,9,5,.908,415,457,2,Montreal Canadiens,2,4
47,4.04,32,,4,3,0.0,14,3.77,,1,223,Al Montoya,.000,0,1,.863,88,102,0,Montreal Canadiens,0,2
48,2.49,35,83,59,59,13.2,134,2.31,27.49,13,3475,Pekka Rinne,.678,40,5,.927,1706,1840,8,Nashville Predators,4,42
49,2.65,22,86,26,23,5.6,61,2.45,10.09,5,1497,Juuse Saros,.609,14,2,.925,749,810,3,Nashville Predators,7,11
50,2.98,28,99,41,38,6.8,106,2.77,0.55,10,2298,Keith Kinkaid,.500,19,4,.913,1108,1214,1,New Jersey Devils,3,26
51,3.16,31,106,40,40,6.2,114,2.93,-6.22,16,2332,Cory Schneider,.475,19,7,.907,1114,1228,1,New Jersey Devils,6,17
52,3.47,30,,4,3,0.5,11,3.18,,2,207,Eddie Lack,.333,1,1,.903,102,113,0,New Jersey Devils,0,1
53,1.45,22,,3,1,0.5,3,1.45,,1,124,Ken Appleby,.000,0,0,.945,52,55,0,New Jersey Devils,0,0
54,3.45,32,105,54,49,8.9,161,3.19,-7.93,26,3024,Jaroslav Halak,.449,22,8,.908,1583,1744,1,New York Islanders,6,20
55,4.14,32,123,27,25,3.0,95,3.82,-17.85,8,1492,Thomas Greiss,.360,9,7,.892,784,879,1,New York Islanders,2,13
56,3.94,25,,8,8,1.5,26,3.65,,3,427,Christopher Gibson,.625,5,3,.908,258,284,0,New York Islanders,2,2
57,3.22,35,97,63,61,11.9,174,2.98,4.70,26,3503,Henrik Lundqvist,.525,32,9,.915,1862,2036,2,New York Rangers,7,26
58,3.38,21,93,10,9,2.1,27,3.15,2.05,4,515,Alexandar Georgiev,.556,5,1,.918,304,331,0,New York Rangers,1,4
59,3.32,30,103,19,12,2.7,46,3.05,-1.24,9,904,Ondrej Pavelec,.417,5,3,.910,464,510,1,New York Rangers,1,4
60,4.78,21,,1,0,0.0,1,4.78,,0,13,Brandon Halverson,,0,0,.833,5,6,0,New York Rangers,0,0
61,3.60,36,116,58,55,7.2,180,3.32,-24.83,25,3251,Craig Anderson,.455,25,11,.898,1588,1768,2,Ottawa Senators,6,23
62,3.50,27,112,31,26,4.0,88,3.25,-9.18,17,1626,Mike Condon,.500,13,6,.902,810,898,0,Ottawa Senators,5,5
63,4.10,31,,1,1,0.1,4,4.10,,1,58,Daniel Taylor,.000,0,0,.882,30,34,0,Ottawa Senators,0,0
64,2.88,32,104,43,42,6.4,112,2.66,-4.22,11,2522,Brian Elliott,.476,20,6,.909,1116,1228,1,Philadelphia Flyers,7,23
65,2.83,29,97,22,18,3.1,45,2.60,1.52,7,1039,Michal Neuvirth,.556,10,5,.915,485,530,1,Philadelphia Flyers,3,9
66,3.48,25,124,17,15,1.5,49,3.22,-9.50,6,913,Petr Mrazek,.267,4,4,.891,401,450,1,Philadelphia Flyers,3,6
67,3.00,25,,11,7,1.1,22,2.75,,2,480,Alex Lyon,.429,3,2,.905,210,232,0,Philadelphia Flyers,1,4
68,3.16,23,106,49,45,7.0,133,2.92,-8.11,16,2733,Matt Murray,.422,19,6,.907,1290,1423,1,Pittsburgh Penguins,3,27
69,2.99,22,104,26,23,3.5,63,2.77,-2.70,6,1364,Tristan Jarry,.609,14,4,.908,624,687,2,Pittsburgh Penguins,2,14
70,2.57,26,90,14,11,2.3,28,2.40,3.25,4,700,Casey DeSmith,.636,7,1,.921,328,356,1,Pittsburgh Penguins,1,6
71,7.96,34,,3,3,-0.5,16,7.49,,3,128,Antti Niemi,.000,0,2,.797,63,79,0,Pittsburgh Penguins,0,0
72,2.74,28,97,60,60,9.9,145,2.55,4.12,22,3416,Martin Jones,.600,36,9,.915,1554,1699,4,San Jose Sharks,6,30
73,2.84,28,98,29,22,4.4,67,2.64,1.02,5,1522,Aaron Dell,.500,11,4,.914,708,775,2,San Jose Sharks,4,15
74,2.97,27,107,59,56,7.9,152,2.75,-10.34,25,3317,Jake Allen,.482,27,8,.906,1462,1614,1,St. Louis Blues,3,27
75,2.24,32,79,32,26,6.2,56,2.09,15.09,7,1610,Carter Hutton,.731,19,2,.931,754,810,3,St. Louis Blues,3,17
76,2.82,23,92,65,64,13.2,167,2.62,15.12,17,3825,Andrei Vasilevskiy,.563,36,8,.920,1908,2075,8,Tampa Bay Lightning,3,44
77,3.15,25,98,12,11,2.2,33,2.89,0.70,3,686,Louis Domingue,.545,6,0,.914,351,384,0,Tampa Bay Lightning,1,7
78,4.04,35,,8,7,0.3,27,3.76,,3,430,Peter Budaj,.286,2,1,.876,190,217,0,Tampa Bay Lightning,1,3
79,3.02,28,94,66,66,13.6,182,2.81,12.06,21,3889,Frederik Andersen,.561,37,8,.918,2029,2211,5,Toronto Maple Leafs,5,38
80,2.33,34,76,18,15,4.2,35,2.14,11.34,5,979,Curtis McElhinney,.533,8,1,.934,493,528,3,Toronto Maple Leafs,1,11
81,3.83,25,,1,1,0.0,4,3.83,,0,63,Calvin Pickard,.000,0,0,.857,24,28,0,Toronto Maple Leafs,1,0
82,2.92,28,101,60,57,9.6,154,2.71,-0.84,26,3414,Jacob Markstrom,.509,29,8,.912,1591,1745,2,Vancouver Canucks,7,23
83,3.73,27,113,27,24,3.7,84,3.44,-9.40,14,1464,Anders Nilsson,.333,8,5,.901,766,850,2,Vancouver Canucks,4,7
84,3.91,22,,1,1,0.0,4,3.91,,0,61,Thatcher Demko,.000,0,0,.867,26,30,0,Vancouver Canucks,0,1
85,2.42,33,83,46,46,9.9,100,2.24,20.77,13,2673,Marc-Andre Fleury,.674,31,4,.927,1276,1376,4,Vegas Golden Knights,4,29
86,2.88,24,102,22,19,3.3,55,2.68,-1.11,4,1230,Malcolm Subban,.421,8,2,.910,559,614,0,Vegas Golden Knights,2,13
87,4.26,25,151,16,14,0.3,57,3.92,-19.26,7,874,Maxime Lagace,.357,5,3,.867,373,430,0,Vegas Golden Knights,1,6
88,1.78,23,,4,3,0.9,5,1.78,,0,169,Oscar Dansk,1.000,3,0,.946,88,93,1,Vegas Golden Knights,0,3
89,6.50,19,,1,0,-0.1,1,6.50,,0,9,Dylan Ferguson,,0,0,.500,1,2,0,Vegas Golden Knights,0,0
90,,28,106,54,54,8.3,153,2.99,-8.36,16,3068,Braden Holtby,.556,30,9,.907,1495,1648,0,Washington Capitals,4,34
91,,26,87,35,28,6.5,73,2.35,10.64,10,1865,Philipp Grubauer,.679,19,3,.923,880,953,3,Washington Capitals,3,15
92,2.54,24,87,67,64,14.0,156,2.36,23.75,11,3966,Connor Hellebuyck,.609,39,6,.924,1892,2048,6,Winnipeg Jets,9,44
93,3.50,29,108,13,12,1.9,37,3.24,-2.59,6,685,Steve Mason,.417,5,3,.906,355,392,1,Winnipeg Jets,1,5
94,3.73,27,,3,3,0.4,7,3.26,,1,129,Michael Hutchinson,.667,2,1,.907,68,75,0,Winnipeg Jets,0,2
95,4.32,22,,3,3,0.1,12,3.99,,2,180,Eric Comrie,.333,1,0,.872,82,94,0,Winnipeg Jets,0,1
