,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
65,3.25,31,113,24,24,3.0,63,2.77,-7.42,10,1367,Pekka Rinne,.500,12,8,.902,582,645,2,Nashville Predators,3,10
66,3.29,22,114,25,22,3.0,64,2.80,-7.99,10,1370,Marek Mazanec,.500,11,6,.902,586,650,2,Nashville Predators,4,8
67,5.32,27,,2,2,-0.1,9,4.36,,1,124,Devan Dubnyk,.000,0,1,.850,51,60,0,Nashville Predators,1,0
68,4.92,22,,1,0,-0.1,1,4.92,,,12,Magnus Hellberg,,0,0,.750,3,4,0,Nashville Predators,,
69,2.95,41,115,39,39,4.4,96,2.51,-12.33,14,2297,Martin Brodeur,.462,18,8,.901,875,971,3,New Jersey Devils,6,19
70,2.31,27,92,45,43,7.6,88,1.97,7.39,15,2680,Cory Schneider,.581,25,4,.921,1019,1107,3,New Jersey Devils,12,16
71,3.22,38,110,40,39,5.4,103,2.74,-9.51,14,2254,Evgeni Nabokov,.410,16,8,.905,982,1085,4,New York Islanders,8,15
72,3.88,23,126,28,26,2.8,89,3.29,-18.34,16,1625,Kevin Poulin,.308,8,8,.891,731,820,0,New York Islanders,1,11
73,3.65,23,121,19,17,2.1,57,3.11,-9.78,7,1101,Anders Nilsson,.353,6,4,.896,491,548,0,New York Islanders,2,8
74,2.77,31,92,63,62,12.4,144,2.36,11.96,24,3655,Henrik Lundqvist,.581,36,9,.920,1666,1810,5,New York Rangers,5,33
75,1.93,26,68,21,19,5.2,33,1.64,15.25,6,1211,Cam Talbot,.842,16,0,.941,527,560,3,New York Rangers,1,12
76,9.34,36,,2,1,-0.5,9,7.65,,1,71,Martin Biron,.000,0,1,.763,29,38,0,New York Rangers,0,0
77,3.54,32,104,53,52,9.5,150,3.00,-5.24,16,3000,Craig Anderson,.500,26,10,.911,1530,1680,4,Ottawa Senators,8,25
78,3.58,22,101,36,30,6.8,99,3.06,-0.68,15,1942,Robin Lehner,.633,19,5,.913,1042,1141,1,Ottawa Senators,6,12
79,0.00,25,,1,0,0.2,0,0.00,,,35,Andrew Hammond,,0,0,1.000,11,11,0,Ottawa Senators,,
80,10.11,30,,1,0,-0.1,2,10.11,,,12,Nathan Lawson,,0,0,.800,8,10,0,Ottawa Senators,,
81,2.93,25,96,61,60,11.3,145,2.50,5.88,18,3486,Steve Mason,.583,35,9,.917,1606,1751,4,Philadelphia Flyers,7,33
82,3.48,31,113,28,21,3.4,69,2.96,-7.74,12,1398,Ray Emery,.524,11,2,.903,642,711,2,Philadelphia Flyers,2,9
83,5.63,25,,1,1,0.0,5,4.69,,0,64,Cal Heeter,.000,0,0,.868,33,38,0,Philadelphia Flyers,1,0
