,age,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,expected_plsmns,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,on_ice_shot_pct,on_ice_sv_pct,pdo,player,pos,shot_thru_percentage,takeaways,toi_pbp_per_60_all,toi_pbp_per_60_ev,total_shots_attempted_all,zs_defense_pct,zs_offense_pct,team
91,20,1022,1240,54.8,2.0,10.1,767,924,54.6,2.2,63,44,9.9,91.9,101.8,Charlie McAvoy,D,41.2,22,22:09,19:16,187.0,46.3,53.7,Boston Bruins
92,31,476,499,51.2,-4.6,-2.3,357,368,50.8,-5.0,38,13,6.4,91.7,98.1,Adam McQuaid,D,52.0,7,15:42,13:35,75.0,38.0,62.0,Boston Bruins
93,30,976,1102,53.0,0.2,8.3,713,848,54.3,1.8,68,27,8.3,92.4,100.8,Kevan Miller,D,39.3,26,19:28,17:03,163.0,48.1,51.9,Boston Bruins
94,33,122,162,57.0,2.6,3.3,88,134,60.4,6.1,11,5,5.0,89.7,94.7,Rick Nash,LW,64.1,8,16:51,12:35,64.0,32.1,67.9,Boston Bruins
95,28,869,929,51.7,-2.0,9.9,622,699,52.9,-0.4,76,14,9.9,91.9,101.8,Riley Nash,C,59.9,55,15:25,13:00,187.0,54.6,45.4,Boston Bruins
96,24,80,73,47.7,-1.2,-2.4,56,55,49.5,0.3,8,0,7.3,82.2,89.5,Rob O'Gara,D,22.2,0,10:59,10:02,9.0,50.0,50.0,Boston Bruins
97,21,1039,1294,55.5,3.1,7.2,819,941,53.5,0.2,82,76,10.7,90.9,101.6,David Pastrnak,RW,54.8,50,17:58,14:47,451.0,37.2,62.8,Boston Bruins
98,28,135,135,50.0,-1.5,0.7,102,102,50.0,-2.4,14,4,5.1,91.5,96.7,Paul Postma,D,42.4,1,10:14,9:23,33.0,41.7,58.3,Boston Bruins
99,27,832,847,50.4,-3.7,5.8,607,641,51.4,-2.5,82,25,5.9,91.2,97.1,Tim Schaller,LW,63.2,31,13:17,11:18,209.0,64.6,35.4,Boston Bruins
100,26,400,449,52.9,-0.6,2.5,314,332,51.4,-2.2,39,22,10.8,92.8,103.6,Ryan Spooner,C,70.0,9,14:29,11:33,100.0,22.7,77.3,Boston Bruins
