,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,ties,total_goals_per_game,wins
16,29.4,342,82,217,169,156,58,3,35,0,253,216,40,7,,84.19,9.7,11.8,84,0.512,16.96,0.899,10.0,2161,2141,-0.11,-0.1,Carolina Hurricanes,10,5.28,37
17,27.0,323,82,227,167,167,51,9,29,8,322,237,63,7,,80.43,12.5,12.2,83,0.506,15.79,0.897,10.4,2187,2292,0.11,-0.01,Vancouver Canucks,15,5.66,30
18,27.6,323,82,196,146,135,54,7,34,4,302,194,40,8,,86.75,12.8,12.8,83,0.506,16.72,0.914,9.2,2135,2264,-0.09,-0.06,Montreal Canadiens,9,4.76,35
19,27.6,332,82,217,157,158,55,4,33,3,296,227,62,8,,79.05,11.2,12.9,83,0.506,16.57,0.9,9.2,2352,2259,0.14,0.02,Mighty Ducks of Anaheim,12,5.41,34
20,27.1,325,82,242,174,180,52,10,37,2,355,245,58,13,,83.66,17.4,17.3,78,0.47600000000000003,16.0,0.898,11.5,2106,2397,0.13,0.1,Chicago Blackhawks,10,5.94,33
21,26.5,330,82,211,174,148,59,4,36,5,365,256,74,8,,79.73,15.4,15.5,77,0.47,17.88,0.892,8.5,2468,2381,0.13,-0.42,Calgary Flames,10,5.7,31
22,26.8,355,82,210,189,159,51,0,33,6,268,248,55,4,,79.48,10.5,13.1,73,0.445,14.37,0.8909999999999999,8.3,2516,2273,-0.06,-0.52,Boston Bruins,19,5.59,24
23,29.6,325,82,218,188,158,55,5,38,3,292,246,49,9,,83.22,11.1,12.5,73,0.445,16.92,0.899,9.0,2416,2446,-0.05,-0.39,New York Rangers,12,5.66,29
24,26.7,304,82,199,183,149,41,9,40,7,309,240,46,11,,85.11,11.4,11.3,70,0.42700000000000005,13.49,0.904,9.0,2215,2499,0.14,-0.36,Nashville Predators,7,5.35,28
25,24.4,320,82,194,183,141,45,8,48,1,420,275,84,8,,80.0,16.7,13.8,58,0.354,14.06,0.9,9.0,2146,2742,-0.03,-1.02,New York Islanders,9,5.72,24
26,25.3,365,82,204,226,144,51,9,47,7,399,310,77,7,,80.7,20.9,19.1,54,0.32899999999999996,13.97,0.8759999999999999,9.8,2084,2494,-0.05,-1.34,Tampa Bay Lightning,9,6.27,19
27,27.5,348,82,170,224,120,44,6,57,4,386,313,76,13,,80.31,17.2,16.0,39,0.23800000000000002,12.64,0.877,8.0,2115,2543,0.0,-1.75,Atlanta Thrashers,7,5.89,14
