,age,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,on_ice_shot_pct,on_ice_sv_pct,pdo,player,pos,shot_thru_percentage,takeaways,toi_pbp_per_60_all,toi_pbp_per_60_ev,total_shots_attempted_all,zs_defense_pct,zs_offense_pct,team
58,32,11,12,52.2,,10,10,50.0,,1,0,0.0,87.5,87.5,Patrick Rissmiller,C,100.0,0,13:07,11:41,2,62.5,37.5,Atlanta Thrashers
59,24,128,165,56.3,1.7,83,129,60.8,5.4,18,3,4.1,92.9,97.0,Rob Schremp,C,61.3,12,11:32,10:04,31,46.1,53.9,Atlanta Thrashers
60,28,359,293,44.9,-3.0,252,221,46.7,-1.5,36,5,10.9,92.8,103.7,Jim Slater,C,67.9,16,10:24,9:22,78,57.3,42.7,Atlanta Thrashers
61,34,782,601,43.5,-6.9,534,451,45.8,-5.3,59,28,8.4,93.1,101.4,Brent Sopel,D,44.9,21,16:09,12:39,89,51.9,48.1,Atlanta Thrashers
62,28,405,426,51.3,-0.9,289,335,53.7,-0.4,45,10,4.2,90.8,95.1,Tim Stapleton,C,57.5,15,10:51,10:26,73,39.8,60.2,Atlanta Thrashers
63,26,1019,915,47.3,-4.8,750,691,48.0,-5.8,80,26,8.6,90.2,98.8,Anthony Stewart,C,60.5,34,14:46,13:04,228,46.0,54.0,Atlanta Thrashers
64,26,270,256,48.7,-10.1,187,186,49.9,-9.7,23,9,4.9,89.3,94.2,Mark Stuart,D,41.2,8,14:51,12:48,51,36.5,63.5,Atlanta Thrashers
65,27,922,782,45.9,-5.9,651,582,47.2,-5.8,82,10,6.7,93.0,99.6,Chris Thorburn,C,59.2,41,13:39,11:26,191,54.2,45.8,Atlanta Thrashers
66,28,32,28,46.7,8.1,27,20,42.6,4.1,2,0,12.5,86.4,98.9,Noah Welch,D,50.0,0,17:33,17:33,2,55.0,45.0,Atlanta Thrashers
67,24,296,441,59.8,5.0,223,341,60.5,3.7,23,8,7.5,91.2,98.8,Blake Wheeler,RW,63.9,19,18:53,15:29,122,41.6,58.4,Atlanta Thrashers
68,23,58,66,53.2,1.0,38,51,57.3,3.4,4,0,5.7,81.3,87.0,Andrei Zubarev,D,50.0,2,20:05,18:03,4,28.3,71.7,Atlanta Thrashers
69,37,1250,1258,50.2,-1.0,986,939,48.8,-1.3,75,22,9.9,92.5,102.4,Adrian Aucoin,D,42.5,26,21:40,17:49,233,54.5,45.5,Phoenix Coyotes
70,33,1059,1143,51.9,1.3,814,858,51.3,2.2,82,29,9.7,92.2,101.9,Eric Belanger,C,51.2,45,17:20,14:03,248,53.5,46.5,Phoenix Coyotes
71,25,205,198,49.1,-1.8,159,147,48.0,-2.2,48,4,7.0,98.1,105.0,Paul Bissonnette,LW,47.4,2,5:15,5:14,38,36.6,63.4,Phoenix Coyotes
72,21,286,312,52.2,3.5,231,228,49.7,0.9,34,3,10.6,97.1,107.7,Mikkel Boedker,LW,51.3,7,10:54,9:37,76,43.9,56.1,Phoenix Coyotes
73,34,991,1095,52.5,2.0,765,828,52.0,3.1,72,36,9.6,91.5,101.1,Shane Doan,RW,54.9,41,19:17,15:01,401,50.1,49.9,Phoenix Coyotes
74,28,268,274,50.6,0.3,213,204,48.9,-0.2,33,5,4.7,93.9,98.6,Andrew Ebbett,C,51.1,8,10:01,9:02,45,45.0,55.0,Phoenix Coyotes
75,19,534,617,53.6,1.3,425,456,51.8,0.8,48,13,9.0,91.3,100.3,Oliver Ekman-Larsson,D,42.7,3,15:02,13:09,117,48.0,52.0,Phoenix Coyotes
76,30,930,753,44.7,-8.2,717,567,44.2,-8.4,71,21,8.0,93.6,101.5,Vernon Fiddler,C,59.5,27,15:33,12:30,163,64.3,35.7,Phoenix Coyotes
77,23,786,876,52.7,2.1,625,675,51.9,2.1,61,23,7.2,93.6,100.9,Martin Hanzal,C,56.2,28,19:30,14:23,265,53.3,46.7,Phoenix Coyotes
78,27,23,12,34.3,-19.4,18,9,33.3,-19.2,3,1,0.0,92.9,92.9,Ryan Hollweg,C,,0,6:33,6:29,0,22.2,77.8,Phoenix Coyotes
79,34,808,767,48.7,-3.9,640,558,46.6,-4.6,50,37,8.1,92.8,100.8,Ed Jovanovski,D,48.0,9,20:29,16:29,152,56.9,43.1,Phoenix Coyotes
80,28,264,214,44.8,-5.7,186,160,46.2,-3.6,16,2,5.2,90.6,95.8,Rostislav Klesla,D,46.8,4,18:24,15:49,47,64.7,35.3,Phoenix Coyotes
81,24,975,800,45.1,-7.2,738,607,45.1,-5.6,79,26,11.5,92.9,104.4,Lauri Korpikoski,LW,53.6,25,15:32,11:50,192,55.9,44.1,Phoenix Coyotes
82,26,663,671,50.3,0.3,520,514,49.7,1.1,51,18,8.9,92.6,101.5,Sami Lepisto,D,39.7,13,16:38,14:27,78,51.4,48.6,Phoenix Coyotes
83,22,78,81,50.9,1.9,62,54,46.6,-2.9,13,1,11.9,90.9,102.8,Brett Maclean,LW,53.3,1,8:46,7:02,30,39.6,60.4,Phoenix Coyotes
